name,change,old_price_a,old_price_a_minus,old_price_rush,new_price_a,new_price_a_minus,new_price_rush
ギギアル 【AR】{147/086}[SV11W],価格変動,¥450,¥300,¥500,¥400,¥300,¥500
シママ 【AR】{111/086}[SV11W],価格変動,¥400,¥300,¥500,¥450,¥300,¥500
ダゲキ 【AR】{128/086}[SV11W],価格変動,¥450,¥300,¥500,¥400,¥300,¥500
ダンゴロ 【AR】{125/086}[SV11W],価格変動,¥450,¥300,¥500,¥450,¥350,¥500
ミネズミ 【AR】{151/086}[SV11W],価格変動,¥450,¥300,¥500,¥450,¥350,¥500
モンメン 【AR】{090/086}[SV11W],価格変動,¥400,¥300,¥500,¥450,¥300,¥500
ワシボン 【AR】{156/086}[SV11W],価格変動,¥450,¥300,¥500,¥400,¥300,¥500
フシギソウ 【AR】{065/063}[M1L],価格変動,¥450,¥350,¥500,¥600,¥450,¥700
フシギダネ 【AR】{064/063}[M1L],価格変動,¥700,¥400,¥600,¥600,¥350,¥600
ガーディ 【AR】{078/076}[M6],価格変動,¥300,¥150,¥300,¥450,¥250,¥450
カイオーガ 【AR】{080/076}[M6],価格変動,¥450,¥350,¥500,¥600,¥450,¥700
カクレオン 【AR】{088/076}[M6],価格変動,¥500,¥300,¥500,¥600,¥450,¥700
グラードン 【AR】{084/076}[M6],価格変動,¥500,¥300,¥500,¥600,¥450,¥700
ドガース 【CHR】{056/049}[sm11b],価格変動,"¥1,900","¥1,500","¥2,200","¥2,200","¥1,400","¥2,200"
シャワーズ 【CHR】{189/184}[S8b],価格変動,"¥1,400","¥1,000","¥1,600","¥1,300","¥1,000","¥1,600"
ヘルガー 【CHR】{206/184}[S8b],価格変動,¥400,¥250,¥400,¥350,¥250,¥400
リザードン 【CHR】{187/184}[S8b],価格変動,"¥2,500","¥1,400","¥2,000","¥2,000","¥1,300","¥2,000"
モルペコV-UNION 【CSR】{226/184~229/184}[S8b],価格変動,"¥1,800","¥1,300","¥2,000","¥1,800","¥1,400","¥2,000"
クチートV 【CSR】{085/068}[S11a],価格変動,"¥1,000",¥800,"¥1,200","¥1,200",¥750,"¥1,200"
メガゲンガーex 【MA】{230/193}[M2a],価格変動,"¥2,400","¥1,700","¥2,700","¥2,800","¥1,800","¥2,700"
メガサーナイトex 【MA】{226/193}[M2a],価格変動,¥600,¥350,¥500,¥450,¥300,¥500
メガシビルドンex 【MA】{225/193}[M2a],価格変動,¥350,¥250,¥400,¥300,¥250,¥400
メガズルズキンex 【MA】{231/193}[M2a],価格変動,¥350,¥250,¥400,¥300,¥250,¥400
イーブイ AR仕様【-】{020/019}[MEE],価格変動,"¥2,100","¥1,400","¥2,000","¥2,500","¥1,600","¥2,400"
メガリザードンXex 【SR】{094/080}[M2],価格変動,"¥3,500","¥2,100","¥3,000","¥2,700","¥1,800","¥3,000"
メガレックウザex 【SR】{095/076}[M6],価格変動,"¥1,800","¥1,200","¥2,000","¥2,300","¥1,500","¥2,600"
ピカチュウ マクドナルド【P】{020/M-P}[その他],価格変動,"¥2,500","¥1,400","¥2,000","¥1,800","¥1,200","¥2,000"
ゴースト AR仕様【-】{022/021}[MBG],価格変動,"¥1,800","¥1,100","¥1,700","¥1,500","¥1,000","¥1,700"
ニャオハ AR仕様【-】{018/017}[MEM],価格変動,"¥1,400",¥950,"¥1,600","¥1,500","¥1,000","¥1,700"
