status,id,name,code,spec,img,is_ask,price_max,price_limit,price_reduce,price_after,price_state,price_a_minus,price_b,sort_price,is_capped
掲載,20066,シャイニートレジャーex(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/e4411192-be7a-4ea5-a580-b632d6f419d4.jpg,False,"¥15,200",-,-,"¥15,200","¥14,400","¥14,400","¥13,600",15200,
掲載,19709,レイジングサーフ,sv3a,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/fbbef10e-37ce-4a97-9d42-e95163c5bcb4.jpg,False,"¥12,300",-,-,"¥12,300","¥11,600","¥11,600","¥11,000",12300,
掲載,19922,未来の一閃,sv4M,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/4ee5f298-3dbe-4cf2-bd94-d907d4d746c6.jpg,False,"¥9,500",-,-,"¥9,500","¥9,000","¥9,000","¥8,500",9500,
掲載,19921,古代の咆哮,sv4K,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/1ff41a79-399e-44f9-8caa-b7fa1a92c0f7.jpg,False,"¥10,400",-,-,"¥10,400","¥9,800","¥9,800","¥9,300",10400,
掲載,19387,黒炎の支配者(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/f1162542-711a-4d8b-879c-367d52135dd7.jpg,False,"¥16,100",-,-,"¥16,100","¥15,200","¥15,200","¥14,400",16100,
掲載,19661,クレイバースト(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/06716c85-802d-410f-8390-f94a62c646fc.jpg,False,"¥9,500",-,-,"¥9,500","¥9,000","¥9,000","¥8,500",9500,
掲載,19001,スノーハザード,sv2P,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/3b77fbe8-95c5-41dc-922f-ea62454c548d.jpg,False,"¥9,500",-,-,"¥9,500","¥9,000","¥9,000","¥8,500",9500,
掲載,208602,トリプレットビート,sv1a,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/04906148-756f-4b2f-aff2-a24f9626dbd4.jpg,False,"¥17,100",-,-,"¥17,100","¥16,200","¥16,200","¥15,300",17100,
掲載,18595,バイオレットex(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/4aeb0bee-780a-489b-906b-9fdf4b7c076e.jpg,False,"¥9,000",-,-,"¥9,000","¥8,500","¥8,500","¥8,100",9000,
掲載,18593,スカーレットex,sv1S,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/9af35ee0-11ff-4305-9399-a04380542370.jpg,False,"¥12,300",-,-,"¥12,300","¥11,600","¥11,600","¥11,000",12300,
掲載,19031,イーブイヒーローズ(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/ee638230-694d-474f-8dfa-2b9fb92d0931.jpg,False,"¥133,000",-,-,"¥133,000","¥126,000","¥126,000","¥119,000",133000,
掲載,19235,シャイニースターV,s4a,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/80bcc699-18ff-4493-9c36-8531a4bd6b1d.png,False,"¥18,000",-,-,"¥18,000","¥17,100","¥17,100","¥16,200",18000,
掲載,19608,TAG TEAM GX タッグオールスターズ,sm12a,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/e4d2b4ad-f296-4c64-99d4-b7baf7c2b1e7.png,False,"¥180,500",-,-,"¥180,500","¥171,000","¥171,000","¥162,000",180500,
掲載,19693,ドリームリーグ,sm11b,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/e6591b29-7862-4bbc-ad7d-4369cf6c7274.jpg,False,"¥152,000",-,-,"¥152,000","¥144,000","¥144,000","¥136,000",152000,
掲載,19620,スペースジャグラー,s10P,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/7f7dc24e-d6a0-4105-b068-ac171fd57292.png,False,"¥13,300",5,-,"¥13,300","¥12,600","¥12,600","¥11,900",13300,
掲載,207091,シールド,s1H,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/d6ebdfc1-081c-426c-9a9f-d14a45ee1699.jpg,False,"¥76,000",-,-,"¥76,000","¥72,200","¥72,200","¥68,400",76000,
掲載,208571,名探偵ピカチュウ,smP2,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/pokemon/0a05a805-bb6a-472e-898a-0051cdd4bff6.jpg,False,"¥118,700",-,-,"¥118,700","¥112,000","¥112,000","¥106,000",118700,
掲載,230183,LIMIT OVER COLLECTION-THE RIVALS-(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/yugioh/fc7d5aff-1b7c-49d8-8f41-fededfac7700.png,False,"¥7,100",100,定額設定,"¥7,000","¥6,700","¥6,700","¥6,300",7100,
掲載,235087,ドラゴン娘になりたくないっ! 文化祭だョ!全員集合!!ドラ娘100％パック(1BOX),,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/duel_masters/7d22b3fe-9bce-4bf0-ad3a-e9d4bd80bf42.png,False,"¥6,600",10,定額設定,"¥6,300","¥6,200","¥6,200","¥5,900",6600,
掲載,208392,邪神と水晶の華(1BOX),,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/duel_masters/c8a24045-8046-494e-8f26-17f2585e6c7a.jpg,False,"¥19,000",1,定額設定,¥0,"¥18,000","¥18,000","¥17,100",19000,
掲載,233160,逆札篇 第2弾 燃えろ禁断！逆転のドギラゴン革命!! (1BOX),DM26-RP2,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/duel_masters/c1080417-ec41-4498-aad0-fcd116e18036.png,False,"¥7,000",10,定額設定,"¥7,000","¥6,600","¥6,600","¥6,300",7000,True
掲載,216073,『FINAL FANTASY』 コレクター・ブースター 英語版(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/mtg/af3b28f7-1e86-4dc9-89e7-327f30421965.jpg,False,"¥280,200",-,-,"¥280,200","¥266,000","¥266,000","¥252,000",280200,
掲載,216060,『FINAL FANTASY』 コレクター・ブースター 日本版(1BOX),-,未開封,https://japan-toreca.s3.ap-northeast-1.amazonaws.com/images/mtg/5eb0a9a5-47cf-4716-aa1a-6377db0ba2da.jpg,False,"¥85,500",-,-,"¥85,500","¥81,200","¥81,200","¥76,900",85500,
